id,usage_frequency,account_status,other_behavioral_data
1,25,active,high
2,12,closed,low
3,8,active,medium
4,34,active,high
5,18,closed,low
6,27,active,medium
7,15,active,low
8,10,closed,high
9,23,active,low
10,31,closed,medium
11,19,active,medium
12,12,active,high
13,28,closed,low
14,7,active,medium
15,22,active,high
16,29,closed,medium
17,16,active,low
18,13,closed,high
19,26,active,medium
20,32,active,low
21,24,closed,high
22,9,active,low
23,14,active,medium
24,11,active,low
25,20,closed,high
26,30,active,medium
27,17,active,low
28,33,active,high
29,6,closed,low
30,21,active,medium
31,35,closed,high
32,36,active,medium
33,5,closed,low
34,37,active,high
35,38,closed,medium
36,4,active,low
37,39,active,high
38,3,closed,medium
39,40,active,low
40,41,closed,high
41,2,active,medium
42,42,closed,low
43,43,active,high
44,1,closed,medium
45,44,active,low
46,45,closed,high
47,46,active,medium
48,47,closed,low
49,48,active,high
50,49,closed,medium
